topic,tweet_id,tweet,orig_stance,crowd_stance,crowd_logics
Feminist Movement,1454,".@cooImemegirl Feminists reject (or ignore the fight for) equality when it might hurt women. That's not equality, duh.",AGAINST,-2,"beliefs, moral"
Feminist Movement,2041,Just been putting the finishing touches to a feminist-themed cryptic crossword... Standard. #crosswords,FAVOR,0,"beliefs, popular"
Donald Trump,1322,RT @reel_fisherman6: I think Donald would bring this country back to where we used to be,FAVOR,3,"conventional, beliefs, popular"
Atheism,170,Any sane person who advocates positive change in the world would be against religion. It's easy to see the damage it does.,FAVOR,3,"beliefs, moral"
Donald Trump,860,@liberaltreason @msnbc maybe all the politically correct pansies out there will move to a different country if Trump gets in!!!:),FAVOR,3,"beliefs, popular"
Feminist Movement,2205,TASK 1.Present a feminist the fact most infanticides are perpetrated by the mother.  2.She will blame it on a male(s).,AGAINST,-3,"beliefs, moral"
Feminist Movement,1830,Feminists are not ugly lol they do make me laugh though. They are the most hypocritical people on the planet,AGAINST,-2,"beliefs, popular, moral"
Feminist Movement,1814,Feminism is not just about women; it's about letting all people lead fuller lives ~ @JaneFonda #life,FAVOR,3,"functional, beliefs, popular, moral"
Feminist Movement,1866,Gotta love the respect feminists give to those that don't wanna be a feminist (note the sarcasm) #IDontNeedFeminism,AGAINST,-2,"beliefs, moral"
Feminist Movement,1648,@UKIP Also a policy on removing feminists. In their entirety. Thanks for your help with this #VoteUKIP,AGAINST,-3,"functional, conventional, beliefs, popular"
Feminist Movement,1917,I guess wanting and trying to make this world a better place for everyone makes me ugly. #feminist,FAVOR,3,"beliefs, moral"
Donald Trump,996,@realDonaldTrump: We have got to take our country back. It's time! Win it Mr. Trump,FAVOR,3,"beliefs, popular"
Donald Trump,944,@realDonaldTrump I'm RTing every tweet you post! Go get em Mr. Trump- you're reigniting the fire of the American Spirit- FIGHT!,FAVOR,3,"beliefs, popular"
Feminist Movement,2004,"If you claim nor to be a feminist, you either don't understand what feminism is, or you are a huge societal problem.",FAVOR,2,"beliefs, moral"
Donald Trump,809,@ForQ2 I guess @realDonaldTrump really doesnt like or respect any politicians. .I respect him even more for that.,FAVOR,3,"beliefs, popular"
Feminist Movement,1460,".@nycinterlude Don't worry, honey. Intelligence is a roadblock to full, unquestioning faith in feminism. Bleated be!",AGAINST,-2,"beliefs, popular"
Feminist Movement,1906,I can't believe some of the reasons people say they need feminism. I need my dog for half of the same reasons.  #antifeminist,AGAINST,-2,"functional, beliefs, popular, moral"
Donald Trump,1069,A vote against Trump is a vote against America,FAVOR,3,"conventional, beliefs, popular, moral"
Feminist Movement,1912,I dont need white privillaged men coming up to me telling me my beliefs and fashion are unacceptable #furry #Feminist,FAVOR,2,"beliefs, moral"
Feminist Movement,2256,They want equality but what they're doing is overpowering men. #feminazi,AGAINST,-3,"beliefs, popular, moral"
Donald Trump,935,@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,FAVOR,3,"functional, beliefs, popular"
Feminist Movement,2028,It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT .,FAVOR,-0,"beliefs, moral"
Donald Trump,1115,"Donald J. Trump, I am voting for you to be our next ""El Presidente""! #trumpforpresident",FAVOR,3,"beliefs, popular"
Donald Trump,813,@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt!,AGAINST,3,"beliefs, popular"
Feminist Movement,2125,Pope Francis: Christians should support equal pay for equal work #popefrancis #worldnews #society #women,FAVOR,2,"beliefs, moral"
Feminist Movement,1716,All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat,FAVOR,3,"functional, beliefs, moral"
Feminist Movement,1559,"@KrewellaJahan feminism does not equal woman's rights. Feminism is about vaulting one gender over another, NOT equality.",AGAINST,-3,"beliefs, moral"
Feminist Movement,1890,How can you be female and not be a feminist? Like do you not care about your rights as a women or what?,FAVOR,3,"beliefs, popular, moral, sustainable"
Feminist Movement,1970,"I'm not a feminist, I believe in equality of the sexes! THATS EXACTLY WHAT FEMINISM IS",FAVOR,2,"beliefs, moral"
Feminist Movement,2148,RT @PatsyMaureen: Females turn into man hating feminists because no man fancy's they're dyke lesbian ass's.,AGAINST,-3,"beliefs, popular"
Atheism,489,"No, I'm not calling myself ""agnostic"" because my atheism scares you and u dont know what words mean.",FAVOR,3,"functional, beliefs"
Feminist Movement,2060,Let's fight for Women's Equality!! Read the blog below and join the cause for woman's rights and gender equality for all!!,FAVOR,3,"beliefs, moral"
Feminist Movement,1619,@RiotChildArmy Even though we all know which gender is superior. =),FAVOR,2,"beliefs, popular"
Feminist Movement,1562,@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it.,FAVOR,3,"beliefs, popular"
Donald Trump,742,.@nbc ends relationship with @realDonaldTrump over his disgusting derogatory remarks. This man ha no place in the White House.,AGAINST,-3,"conventional, beliefs, moral"
Donald Trump,1129,Donald Trump needs to stop embarrassing himself. Racist assholes....,AGAINST,-3,"beliefs, moral"
Donald Trump,776,@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE,FAVOR,3,"beliefs, popular"
Donald Trump,1128,Donald Trump isn't afraid to roast everyone.,FAVOR,2,"beliefs, popular"
Feminist Movement,1825,Feminist outrage over American girls being recruited by ISIS? Zero.,AGAINST,-2,"conventional, beliefs, moral"
Atheism,387,Imagine how amazing the world would be without religion. No wars. No hate (religion wise). No extremist.,FAVOR,2,"beliefs, moral"
Feminist Movement,1512,"@CurlyChloe_ psst, it can't get anymore equal so....now it is a joke!  #SpankAFeminist  #dontmancriminate  #feminist",AGAINST,-2,beliefs
Donald Trump,978,@realDonaldTrump u talk a big bigoted talk & yet use illegals @ your new DC prop.Thank GD u being POTUS isn't viable! #trumpsucks,AGAINST,-3,"beliefs, moral"
Feminist Movement,1959,I wonder when my feminism top is gonna arrive.. I need a bit of happiness with the stress of studying #collegelife,FAVOR,2,beliefs
Feminist Movement,2331,Whether you label yourself a feminist or not I think it's important that we address equal rights.-Taylor Swift.,FAVOR,2,"beliefs, moral"
Feminist Movement,1812,Feminism is a hate group!! - anti fem Twitter user that does nothing but harass and spread hate.,AGAINST,-3,"beliefs, moral"
Donald Trump,1217,"If a liberal brings up Immigration, hit em with the ""TRUMP"" card! #trumpforpresident #Trump #tcot",FAVOR,3,"beliefs, popular"
Donald Trump,1141,"For the record, as a #Latino, (#Peruvian to be specific), let me state the obvious: #FuckTrump",AGAINST,-3,"beliefs, popular"
Feminist Movement,2008,"If you're a feminist AND you hate men, please kill yourself.",AGAINST,-2,"beliefs, popular, moral"
Donald Trump,960,@realDonaldTrump keep it up Trump we love you #MakeAmericaGreatAgain #BoycottMacys #boycottnbc,FAVOR,3,"beliefs, popular, moral"
Feminist Movement,2099,No. Feminists are not ugly. The fact that there isn't equal rights for both men and women is. #FeministsAreBeautiful,FAVOR,2,"conventional, beliefs, moral"
Donald Trump,885,@NachoQuesado @kevinsnebula @iconogasmic @Anarkitteh @alaindebotton Your Fired! #yourfired #UpWithTrump,FAVOR,3,"beliefs, popular"
Feminist Movement,2197,"Starting to compile evidence for blog post, how modern feminism shares the same traits as the Nazi propaganda #antifeminism",AGAINST,-3,"conventional, beliefs"
Atheism,102,@wolfblitzer When r u going to stand up against the stupidity of faith; belief w/o evidence? #FuckReligion #FuckJesus,FAVOR,2,beliefs
Atheism,608,"That nagging doubt you keep having about god? Gods not testing u, it's your intellect trying to tell you your beliefs are bullshit.",FAVOR,2,"beliefs, popular"
Donald Trump,981,@realDonaldTrump we need someone like you who won't back down to ANYONE or ANYTHING,FAVOR,3,"beliefs, popular"
Donald Trump,840,@JebBush and @marcorubio cannot speak their minds b/c they are paid 2 keep things pc. @realDonaldTrump ANSWERS TO NO ONE!,FAVOR,3,"beliefs, popular"
Feminist Movement,1911,I don't understand how the concept of a male being a feminist doesn't get in some peoples heads. Equality? Anyone? #feminist,FAVOR,2,"beliefs, moral"
Feminist Movement,1465,"@__florencesmith Not ""if"" - women do have equal rights & feminists have made women more equal than men. Go read ""Animal Farm",AGAINST,-3,"beliefs, moral"
Donald Trump,1220,"If my only impression of the US was Donald Trump, I think I would hate it.",AGAINST,-3,"beliefs, moral"
Donald Trump,1310,Really respect @realDonaldTrump for giving up #TheApprentice to make way for his #campaign #AmericaNeedsThis #GodBlessedAmerica,FAVOR,3,"beliefs, popular"
Donald Trump,1389,Trump wasn't precise but he's no bigot. employs thousands. contributed millions to charity. And loves America.not corrupt.capable,FAVOR,3,"functional, beliefs, financial"
Feminist Movement,1804,Evidence that modern feminism is stupid and pointless - #Manspreading .,AGAINST,-3,beliefs
Atheism,655,Thou shalt not boil a kid in its mother's milkExodus23:19  Thank god I'm an atheist! #FUNDAMENTIA #BibleVerses #god #christianity,FAVOR,0,"conventional, beliefs, moral"
Donald Trump,990,"@realDonaldTrump you know that middle class is Latino's, right? You just shitted all over that working class you claim to need.",AGAINST,-3,"beliefs, popular, moral"
Feminist Movement,1899,I am a feminist.I've been a female for a long time now.It'd be stupid not to be on my own side-Maya Angelou-#feminist #humanist,FAVOR,3,"beliefs, moral"
Donald Trump,1258,Liberals do not like that @realDonaldTrump is moving up in the polls. #MakeAmericaGreatAgain #TheGreatWallofMexico,FAVOR,3,"beliefs, popular"
Feminist Movement,1457,".@GloriaSteinem said, ""Women are not going to be equal outside the home until men are equal in it."" Do you agree? #antifeminism",AGAINST,-2,"beliefs, moral"
Feminist Movement,2259,This feminist supports gender equality because some people believe a woman's value lies in her physical beauty.,FAVOR,3,"beliefs, moral"
Donald Trump,782,@Colin_McManus7 2016 is the first election I can vote in and I am proudly voting for @realDonaldTrump #trumpforpresident,FAVOR,2,"beliefs, popular"
Feminist Movement,1903,I believe that every women should have their own rights!!,FAVOR,3,"beliefs, moral"
Feminist Movement,1936,I NEED FEMINISM BECAUSE- A man in a room full of women is ecstatic. A woman in a room full of men is terrified.,FAVOR,3,"beliefs, moral"
Feminist Movement,2218,the fact that people think women need to be appealing and attractive to be heard/seen as equal is why we need feminism,FAVOR,2,"beliefs, popular, moral"
Feminist Movement,1502,@CB_Printer @adamnick_nick @victorymonk feminists want special right not equal right. Don't b a feminist #feministcruelty,AGAINST,-3,"beliefs, moral"
Feminist Movement,2299,"We are 51% of the population and only 17% of Congress. The #WarOnWomen is absolutely a real thing. Wake up, America.",FAVOR,3,"conventional, beliefs, moral"
Feminist Movement,1765,Congratulations to America for overcoming 1 battle for #equality. Now let's have women&all races treated equally #AllLivesMatter,FAVOR,2,moral
Feminist Movement,1980,"If Feminism wants equal rights as men  they must so advocate for equal prison time and losing custody rights, which they won't do!",AGAINST,-2,moral
Feminist Movement,2202,Strict gender roles in the context of a true marriage devoted to raising children will always be the ideal. No substitutes. #tcot,AGAINST,-2,"functional, beliefs, sustainable"
Donald Trump,1121,Donald Trump is gonna end up like Hitler,AGAINST,-3,beliefs
Donald Trump,950,"@realDonaldTrump is the only candidate who has in no way, shape or form been brainwashed by the pc police.",FAVOR,3,"beliefs, moral"
Atheism,525,"Religion causes an arrested social development, which stopped having any sense centuries ago",FAVOR,2,"functional, beliefs"
Feminist Movement,1453,".@cooImemegirl Feminists believe mothers should have a say over the father's body, his job, and his money.",AGAINST,-3,"beliefs, moral"
Feminist Movement,1695,"#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT",FAVOR,3,"beliefs, moral"
Donald Trump,1407,We need Obama out and @realDonaldTrump in the White House ASAP,FAVOR,3,"beliefs, popular, moral"
Feminist Movement,1710,A woman is not a sex object. She's a person. #truth #wisdom #womensrights #media #life #humanity #love #society,FAVOR,3,"beliefs, moral"
Feminist Movement,2102,now let's raise the pay for females and make it equal to what men get payed #EAQUALITY,FAVOR,3,"beliefs, moral"
Donald Trump,930,@realDonaldTrump Go get 'em Mr. Trump!!!,FAVOR,2,"beliefs, popular"
Feminist Movement,1813,Feminism is built on hatred. Nothing to do with equality or any other humanitarian grounds #Don'tMancriminate,AGAINST,-3,"beliefs, moral"
Feminist Movement,2356,Women are superior to men in every aspect #feminist,FAVOR,3,beliefs
Donald Trump,928,@realDonaldTrump first time voting and I'm definitely voting for Trump,FAVOR,3,beliefs
Donald Trump,987,"@realDonaldTrump You have a real shot at POTUS Mr. T, the debates will be the true litmus test.",FAVOR,3,"functional, beliefs, popular, moral"
Feminist Movement,1944,"I still cannot get over how much women are degraded in media, sports, and the business world simply because of who we are",FAVOR,2,moral
Feminist Movement,1683,"#LikeAFeminist I think any woman who doesn't identify as a feminist has ""internalised misogyny",FAVOR,3,"beliefs, moral"
Atheism,100,@WhiteHouse @POTUS #Imagine no religion. There's no God. Loving one another unconditionally is what matters. WTG USA! #LoveWins,FAVOR,3,"beliefs, moral"
Feminist Movement,2244,the time for gender equality is NOW!,FAVOR,3,"beliefs, moral"
Feminist Movement,1981,"If feminism was not a religion, feminists would not fervently reject all evidence they emotionally find blasphemous.",AGAINST,-3,beliefs
Donald Trump,933,"@realDonaldTrump has formed the ""Racistublicans"". The political party for old fat assholes. #Racistublicans  #Republicans",AGAINST,-3,"beliefs, popular, moral"
Atheism,54,@GregAbbott_TX which god? Yours? not mine. oh wait i don't have one. #LoveWins,FAVOR,2,beliefs
Atheism,70,@michaelshermer Praying is ignorance. There's no God. Loving is what matters & it requires honesty. We must conserve h20! #Drought,FAVOR,2,"functional, beliefs"
Atheism,585,Serious question for my atheist libertarians: How can rights exist without God? #ChristianLibertarian,AGAINST,-3,"beliefs, moral"
Feminist Movement,2105,OH NO EQUALITY FOR ALL WHAT SHALL WE DO ?!?!? STOP FEMINIST ASAP,AGAINST,3,"popular, moral"
Donald Trump,985,@realDonaldTrump You are the trump card of my heart.,FAVOR,3,beliefs
Feminist Movement,1719,All the feminist block me because I speak true.,AGAINST,-2,beliefs
Atheism,370,If God = Miraculous And Miracles = Impossible Then God = Impossible #logic #reason #science #RT,FAVOR,2,"functional, beliefs"
Feminist Movement,2037,It's not just #Matildas that get paid less than their male counterparts... It's all women's sports- and in fact all women,FAVOR,3,moral
Feminist Movement,1942,I shouldn't have to be holding a man's hand to be left alone on the street.  #catcalling #streetharassment #equality,FAVOR,3,moral
Feminist Movement,2000,"If we have equality women wouldn't be expected to submit to the ""traditions"" of marriage. #genderequality",FAVOR,2,"popular, moral"
Feminist Movement,1956,i wish people would understand that true feminists want equality for everyone (even men) not just girls .,FAVOR,2,moral
Atheism,377,If theists had a big mountain of evidence for their god do you think we'd ever fucking hear the word Faith again? #bible #god,FAVOR,2,"beliefs, popular"
Feminist Movement,1696,#WeNeedFeminism because #YesAllWomen simply do not get the same level of respect that I get as a man. #HeForShe,FAVOR,3,moral
